"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Convert BLM to DTO - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Converter Tests","com.connection.processing.buffer.objects.json.converter.BufferJsonDataConverterTest","testToDTOFromBLM_Positive"
"","2","Find oldest data by buffer UID - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testFindOldestByBufferUid_Positive"
"","0","Validate null BufferJsonDataDTO - Negative","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateNullBufferJsonDataDTO_Negative"
"","2","Check buffer exists - Positive","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testExists_Positive"
"","1","Validate BufferJsonDataDTO with minimal valid JSON - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataDTOWithMinimalJson_Positive"
"","0","Validate valid BufferJsonDataDALM - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataDALM_Positive"
"","0","BufferNotFoundException toString format","","2025-09-19","passed","2025-09-19","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBufferNotFoundExceptionToString"
"","3","Find data by buffer UID - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testFindByBufferUid_Positive"
"","2","Check buffer exists - Negative","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testExists_Negative"
"","2","Find buffer by UID - Positive","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testFindByUid_Positive"
"","1","Find non-existent data by UID - Negative","","2025-09-19","passed","2025-09-19","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testFindByUid_Negative"
"","1","Find buffers by scheme UID - Positive","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testFindByConnectionSchemeUid_Positive"
"","1215","Add buffer-device relationship - Positive","","2025-09-19","passed","2025-09-19","","BufferDevice Repository Tests - SQL implementation tests","com.connection.processing.buffer.bufferdevice.repository.BufferDeviceRepositorySQLImplTest","testAddBufferDevice_Positive"
"","2","Update buffer - Positive","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testUpdateBuffer_Positive"
"","2","Delete buffer - Positive","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testDeleteBuffer_Positive"
